"F1","F2","F3","F4","F5","F6","F7.1","F7.2","F7.3_1","F7.3_2","F7.3_3","F7.3_4","F7.3_5","F7.3_6","F7.3_7","F7.3_8","F7.3_9","F7.3_10","F7.3_11"
0.999999999999994,0.0419227518639192,0.853701781853312,0.999999999999999,0.892713901742241,0.736167058781066,0.191501053374329,0.253413923470774,0.999999999999999,0.999999999999998,0.999999999999999,0.586547783649532,0.921380728029107,0.45523144370146,1,0.999999999999999,0.877960724074688,0.231513887631688,2.27064787867874e-55
0.59092346904453,0.226974970462052,0.192038559173901,0.980968903887144,0.685257230510128,0.550852599231588,0.132060427026544,0.140174988636372,0.867991370035233,0.874285869581642,0.63727395283385,0.45732369393004,0.711256252745987,0.717356023847491,0.852300330855435,1,0.815898662829055,0.271929557097178,7.03592809017757e-50
0.39328883447929,0.386896217500582,0.209656789687685,0.624481058238697,0.289758735555552,0.548223980929043,0.609704671295118,0.582389130747971,0.999999999999999,0.999999999999994,0.999999999999993,0.668111727173319,0.999999999999995,0.114423219395494,0.45217949748151,0.665571855347204,0.0653855392862251,0.297632700853183,1.44086613794369e-54
0.589557533573125,0.938064431271095,0.660197813542836,0.95755708066903,0.491556268964202,0.919478456092879,0.460810876075257,0.739402179967932,0.629020613061956,0.393078385560663,0.290401541546213,0.453549059120064,1,0.416978408418779,1,0.959097473810772,1,1,2.98570083280059e-43
0.999999999999996,0.0707552315878739,0.929463383002209,0.305493388736177,0.837166024275843,0.890930486537665,0.368291230975127,0.422000705037592,0.901875158438428,0.999999999999999,0.69445905570359,0.0096796747493064,0.262939151161845,0.999999999999996,0.500598719418033,0.852765556498394,0.999999999999999,0.664747181722803,1.20472288762046e-50
0.569426511599625,0.350570979555003,0.448440841508896,0.999999999999999,0.485229340525765,0.416253229807862,0.621462983922416,0.878524543385612,0.749144051592682,0.0418906280390969,0.450637046585212,0.241234281078309,0.341073875249414,0.999999999999996,0.240948954928096,0.956779728471046,0.425548888954655,0.988423078256044,7.1286983911664e-47
0.999999999999998,0.811127354521486,0.560303888571334,0.999999999999999,0.70019316163783,0.507365408695566,0.929503880765018,0.894491933156626,0.999999999999999,0.279465444346216,0.889944266793826,0.555853692522678,0.456552474637379,0.518811272194076,0.136595833217081,0.289405740052435,0.793598778218769,0.66289071083201,4.2724897945325e-29
0.100444897765654,0.195740527951941,0.248494624870024,0.151184113907178,0.00418547927740192,0.0777098209978972,0.196306538626805,0.840338205152289,0.805531176394738,0.999999999999999,1,0.574318582472538,0.0716127773066944,0.250559672671845,0.676231599160828,0.999999999999998,0.96070711041423,0.879491739416654,2.302367166869e-48
0.782141287702181,0.451148278130117,0.252347465388005,0.931608227240029,0.35357313212558,0.781187738297817,0.394307307402787,1,0.999999999999999,0.0891261028132553,0.450509653433262,0.679852588592282,0.317993317582857,0.214472416826709,0.568430711164757,0.540668477804941,0.475697132132527,1,2.76232407133378e-33
0.845243538598414,0.897780547329059,0.86128327589063,0.872424698252226,0.55534807072828,0.198941092860189,0.720896581242489,0.999999999999999,0.86303954368155,0.500421184971974,0.532382136990166,0.255863748889852,0.131652201276959,0.999999999999998,0.269254780659481,0.833116337266374,0.485012770397675,0.999999999999996,4.2724897945325e-29
